Word,POS_Tag
Broad,Noun
Peak,Noun
avalanche,Noun
wipes,Verb
generation,Noun
Nepali,Noun
climbing,Verb
greats,Noun
deaths,Noun
Nirmal,Noun
Purja,Noun
mountain,Noun
guides,Noun
Pakistan,Noun
Broad,Noun
Peak,Noun
have,Verb
dealt,Verb
blow,Noun
Nepal,Noun
climbing,Noun
community,Noun
erasing,Verb
decades,Noun
expertise,Noun
achievement,Noun
avalanche,Noun
swept,Verb
Pakistan,Noun
Broad,Noun
Peak,Noun
Thursday,Noun
morning,Noun
did,Verb
claim,Noun
Nepali,Noun
lives,Noun
wiped,Verb
generations,Noun
climbers,Noun
country,Noun
has,Verb
produced,Verb
taking,Verb
decades,Verb
expertise,Noun
leadership,Noun
achievement,Noun
killed,Verb
was,Verb
mountaineer,Noun
Nirmal,Noun
Purja,Noun
known,Verb
Nimsdai,Noun
elite,Noun
Nepali,Noun
mountain,Noun
guides,Noun
experience,Noun
skills,Noun
helped,Verb
shape,Verb
Himalayan,Noun
climbing,Noun
According,Verb
Nepali,Noun
expedition,Noun
operators,Noun
mountaineering,Verb
entrepreneurs,Noun
country,Noun
has,Verb
suffered,Verb
loss,Noun
recognised,Verb
climbers,Noun
mountain,Noun
disaster,Noun
Nepali,Noun
climbers,Noun
killed,Verb
avalanche,Noun
were,Verb
Pur,Noun
Bahadur,Noun
Gurung,Noun
known,Verb
Yukta,Noun
Kili,Noun
Pemba,Noun
Sherpa,Noun
known,Verb
Kilu,Noun
Nima,Noun
Sherpa,Noun
Nawang,Noun
Thendu,Noun
Sherpa,Noun
Gyaljen,Noun
Sherpa,Noun
known,Verb
Gyalu,Noun
had,Verb
completed,Verb
dozens,Noun
ascents,Noun
Everest,Noun
peaks,Noun
earning,Verb
recognition,Noun
achievements,Noun
Gyalu,Noun
Sherpa,Noun
Nawang,Noun
Thendu,Noun
Sherpa,Noun
were,Verb
associated,Verb
Seven,Noun
Summit,Noun
Treks,Noun
Pur,Noun
Bahadur,Noun
Gurung,Noun
Nima,Noun
Sherpa,Noun
were,Verb
guides,Noun
Nimsdai,Noun
Elite,Noun
Exped,Noun
Kili,Noun
Pemba,Noun
Sherpa,Noun
was,Verb
guide,Noun
Imagine,Noun
Nepal,Noun
Gyalu,Noun
Sherpa,Noun
climber,Noun
Okhaldhunga,Noun
began,Verb
mountaineering,Noun
career,Noun
years,Noun
built,Verb
climbing,Noun
resume,Noun
summiting,Verb
Lenin,Noun
Peak,Noun
Mera,Noun
Peak,Noun
Lobuche,Noun
Himlung,Noun
Himal,Noun
Cholatse,Noun
Manaslu,Noun
Kanchenjunga,Noun
Everest,Noun
Kanchenjunga,Noun
held,Verb
significance,Noun
year,Noun
completed,Verb
ascent,Noun
Everest,Noun
summiting,Verb
world,Noun
peak,Noun
Gyalu,Noun
set,Verb
Guinness,Noun
World,Noun
Record,Noun
summiting,Verb
Kanchenjunga,Noun
times,Noun
season,Noun
climbed,Verb
Everest,Noun
times,Noun
said,Verb
Chhang,Noun
Dawa,Noun
Sherpa,Noun
director,Noun
Seven,Noun
Summit,Noun
Treks,Noun
adding,Verb
Gyalu,Noun
had,Verb
worked,Verb
company,Noun
years,Noun
Chhang,Noun
Dawa,Noun
said,Verb
Nawang,Noun
