Entity,Entity_Type
Broad Peak,PERSON
Nepali,GPE
Nirmal Purja,ORG
five,CARDINAL
Pakistan,GPE
Broad Peak,PERSON
Nepal,PERSON
decades,DATE
Pakistan,GPE
"8,051-metre",QUANTITY
Broad Peak,PERSON
Thursday,DATE
morning,TIME
six,CARDINAL
Nepali,NORP
one,CARDINAL
decades,DATE
Nirmal Purja,PERSON
Nimsdai,ORG
five,CARDINAL
Nepali,GPE
Himalayan,NORP
Nepali,GPE
Nepali,NORP
Pur Bahadur Gurung,ORG
Yukta,GPE
Kili Pemba Sherpa,PERSON
Kilu,ORG
Nima Sherpa,PERSON
Nawang Thendu Sherpa,PERSON
Gyaljen Sherpa,PERSON
dozens,CARDINAL
Everest,LOC
"8,000-metre",QUANTITY
Sherpa,PERSON
Nawang Thendu Sherpa,PERSON
Seven,CARDINAL
Summit Treks,ORG
Pur Bahadur Gurung,ORG
Nima Sherpa,PERSON
Nimsdai,ORG
Elite Exped,PERSON
Kili Pemba Sherpa,PERSON
Imagine Nepal,ORG
Okhaldhunga,GPE
2015,DATE
the years,DATE
Lenin Peak,PERSON
Mera Peak,PERSON
Lobuche,ORG
Himlung Himal,PERSON
Cholatse,PERSON
Manaslu,GPE
Kanchenjunga,GPE
Everest,LOC
Kanchenjunga,GPE
Earlier this year,DATE
Everest,LOC
third,ORDINAL
Kanchenjunga,GPE
three,CARDINAL
a single season,DATE
Everest,LOC
Chhang Dawa Sherpa,PERSON
Seven,CARDINAL
nearly eight years,DATE
Chhang Dawa,PERSON
29-year-old,DATE
Nawang Thendu Sherpa,PERSON
Seven,CARDINAL
Summit Treks,ORG
Kili Pemba Sherpa,PERSON
Nepal,PERSON
one,CARDINAL
10,CARDINAL
Nepali,NORP
Nimsdai,ORG
"January 16, 2021",DATE
the first winter,DATE
K2,CARDINAL
second,ORDINAL
Only weeks,DATE
July 3,DATE
Kili Pemba,PERSON
Pakistan,GPE
"8,126-metre",QUANTITY
Nanga Parbat,PERSON
14,CARDINAL
"8,000-metre",QUANTITY
Less than a month,DATE
Broad Peak,PERSON
Friday,DATE
the Rolwaling Valley,ORG
Dolakha,GPE
1980,DATE
Beding,GPE
Gaurishankar Rural,PERSON
Kili Pemba,PERSON
the age of 16,DATE
Manaslu,NORP
1996,DATE
first,ORDINAL
years,DATE
Manaslu,NORP
2002,DATE
Everest,LOC
first,ORDINAL
the following year,DATE
Kili Pemba's,PERSON
2021,DATE
Mingma Gyalje Sherpa,PERSON
Mingma G,PERSON
Manaslu,GPE
2018,DATE
Chinese,NORP
Xia Boyu,PERSON
Everest,LOC
2021,DATE
Russian,NORP
Rustam Nabiev,ORG
Manaslu,GPE
Dawa Chirring Sherpa,ORG
Kili Pemba,PERSON
Everest 15,LAW
Nepal,PERSON
Nima Sherpa,PERSON
Chyakse Boda,ORG
Makalu Rural,GPE
Sankhuwasabha,PERSON
Elite Exped,PERSON
Nima,GPE
four,CARDINAL
"8,000-metre",QUANTITY
this year,DATE
Yukta,GPE
Pakistan,GPE
three weeks earlier,DATE
K2,PRODUCT
one,CARDINAL
K2,PRODUCT
Nimsdai,ORG
Broad Peak,PERSON
Yukta,GPE
12,CARDINAL
14,CARDINAL
"above 8,000 metres",QUANTITY
14,CARDINAL
Three years ago,DATE
seventh,ORDINAL
Everest,LOC
May,DATE
Laprak,GPE
Dharche Rural,ORG
Gorkha,GPE
Yukta,GPE
Six,CARDINAL
Laprak,GPE
Everest,LOC
first,ORDINAL
Gurung,PERSON
Everest 10 times,LAW
2011,DATE
the age of 22,DATE
tenth,ORDINAL
May 20 this year,DATE
Makalu,GPE
Annapurna,GPE
Lhotse,PERSON
K2,CARDINAL
Omani,NORP
Nadhira Al Harthy,PERSON
Laprak,ORG
Nawang Thendu Sherpa,PERSON
only 29,CARDINAL
Everest,LOC
Lhotse,PERSON
Manaslu,GPE
Kanchenjunga,GPE
Makalu,GPE
Dablam,PERSON
first,ORDINAL
Everest,LOC
2022,DATE
Makalu,GPE
earlier this year,DATE
Ongdi Tshering Sherpa,ORG
Makalu Rural Municipality,GPE
Nawang,PERSON
three,CARDINAL
"8,000-metre",QUANTITY
Nawang,PERSON
Ongdi,ORG
Nepal,PERSON
years,DATE
Nepal,GPE
Chhang Dawa,PERSON
Seven,CARDINAL
years,DATE
Himalayan,NORP
Nepal,PERSON
